County,Year,Electricity Usage (GWh)
Alameda,2009,3016.259087
Alpine,2009,13.029405
Amador,2009,142.896522
Butte,2009,731.35321
Calaveras,2009,201.979922
Colusa,2009,65.571365
Contra Costa,2009,2787.816964
Del Norte,2009,132.95814099999998
El Dorado,2009,769.955199
Fresno,2009,2615.173548
Glenn,2009,93.510276
Humboldt,2009,461.94762099999997
Imperial,2009,514.217101
Inyo,2009,58.208805000000005
Kern,2009,2171.316148
Kings,2009,364.876777
Lake,2009,289.270152
Lassen,2009,106.51524599999999
Los Angeles,2009,20590.377892
Madera,2009,415.160176
Marin,2009,707.9381099999999
Mariposa,2009,72.818841
Mendocino,2009,340.204209
Merced,2009,676.797341
Modoc,2009,61.35457099999999
Mono,2009,90.996172
Monterey,2009,731.0468480000001
Napa,2009,381.474386
Nevada,2009,424.11788099999995
Orange,2009,6915.602284999999
Placer,2009,1366.366414
Plumas,2009,103.274793
Riverside,2009,6606.216782
Sacramento,2009,4722.923195
San Benito,2009,117.414796
San Bernardino,2009,4796.746936
San Diego,2009,6790.487873
San Francisco,2009,1500.9215470000001
San Joaquin,2009,1726.070025
San Luis Obispo,2009,667.82461
San Mateo,2009,1614.0521609999998
Santa Barbara,2009,808.9224849999999
Santa Clara,2009,3968.4756020000004
Santa Cruz,2009,595.816998
Shasta,2009,756.699264
Sierra,2009,14.395347000000001
Siskiyou,2009,240.150238
Solano,2009,1021.109642
Sonoma,2009,1321.034978
Stanislaus,2009,1714.553598
Sutter,2009,276.737699
Tehama,2009,237.971587
Trinity,2009,10.582675
Tulare,2009,1187.7270720000001
Tuolumne,2009,224.548867
Ventura,2009,1855.0112199999999
Yolo,2009,514.54446
Yuba,2009,205.271476
Alameda,2008,2996.061668
Alpine,2008,8.899778
Amador,2008,144.10306699999998
Butte,2008,723.830546
Calaveras,2008,200.66968799999998
Colusa,2008,64.22959499999999
Contra Costa,2008,2785.188571
Del Norte,2008,136.50859599999998
El Dorado,2008,771.294737
Fresno,2008,2550.992882
Glenn,2008,92.07172299999999
Humboldt,2008,440.223551
Imperial,2008,502.31612699999994
Inyo,2008,54.826240000000006
Kern,2008,2146.883253
Kings,2008,358.86463100000003
Lake,2008,284.691332
Lassen,2008,107.04096499999999
Los Angeles,2008,21115.736666
Madera,2008,411.12965499999996
Marin,2008,704.067834
Mariposa,2008,73.027354
Mendocino,2008,338.597555
Merced,2008,669.0148820000001
Modoc,2008,63.026113
Mono,2008,92.54468
Monterey,2008,731.179752
Napa,2008,378.97864300000003
Nevada,2008,421.11163200000004
Orange,2008,7138.305305
Placer,2008,1360.497735
Plumas,2008,103.610437
Riverside,2008,6772.256465
Sacramento,2008,4708.470665
San Benito,2008,117.510263
San Bernardino,2008,4913.287822
San Diego,2008,6916.5364819999995
San Francisco,2008,1484.029752
San Joaquin,2008,1706.420641
San Luis Obispo,2008,672.8547219999999
San Mateo,2008,1612.678086
Santa Barbara,2008,815.568947
Santa Clara,2008,3954.19822
Santa Cruz,2008,586.742727
Shasta,2008,752.538602
Sierra,2008,14.503060999999999
Siskiyou,2008,246.86802799999998
Solano,2008,1029.977773
Sonoma,2008,1304.183595
Stanislaus,2008,1709.072802
Sutter,2008,277.208328
Tehama,2008,234.109163
Trinity,2008,9.961227000000001
Tulare,2008,1161.7519810000001
Tuolumne,2008,224.797158
Ventura,2008,1891.100563
Yolo,2008,508.01918499999994
Yuba,2008,200.069567
Alameda,2007,2971.652195
Alpine,2007,9.326645
Amador,2007,142.60943400000002
Butte,2007,714.856899
Calaveras,2007,199.91546599999998
Colusa,2007,64.174329
Contra Costa,2007,2738.380846
Del Norte,2007,133.57967
El Dorado,2007,760.414893
Fresno,2007,2522.010894
Glenn,2007,90.989488
Humboldt,2007,416.777097
Imperial,2007,522.128125
Inyo,2007,56.782706999999995
Kern,2007,2091.54157
Kings,2007,346.76277000000005
Lake,2007,275.09038799999996
Lassen,2007,104.115047
Los Angeles,2007,20536.164117
Madera,2007,408.07055099999997
Marin,2007,704.254152
Mariposa,2007,72.428496
Mendocino,2007,330.97698399999996
Merced,2007,658.0918839999999
Modoc,2007,58.71080799999999
Mono,2007,97.762323
Monterey,2007,741.587708
Napa,2007,377.571799
Nevada,2007,413.906031
Orange,2007,6867.803953000001
Placer,2007,1327.086591
Plumas,2007,103.560058
Riverside,2007,6682.669022
Sacramento,2007,4649.440614
San Benito,2007,119.25101200000002
San Bernardino,2007,4785.465239
San Diego,2007,6751.298154000001
San Francisco,2007,1467.239468
San Joaquin,2007,1700.603877
San Luis Obispo,2007,671.3158549999999
San Mateo,2007,1593.131096
Santa Barbara,2007,813.625428
Santa Clara,2007,3899.427232
Santa Cruz,2007,585.5214070000001
Shasta,2007,741.052583
Sierra,2007,16.766479
Siskiyou,2007,243.94928199999998
Solano,2007,1011.912446
Sonoma,2007,1272.999943
Stanislaus,2007,1677.290518
Sutter,2007,273.68618100000003
Tehama,2007,230.51681200000002
Trinity,2007,9.410292
Tulare,2007,1117.440744
Tuolumne,2007,223.18695400000001
Ventura,2007,1840.8802210000001
Yolo,2007,498.37799400000006
Yuba,2007,198.652701
Alameda,2006,3118.114844
Alpine,2006,9.537211
Amador,2006,142.536257
Butte,2006,708.370307
Calaveras,2006,195.00364199999999
Colusa,2006,64.98423199999999
Contra Costa,2006,2745.204011
Del Norte,2006,127.833022
El Dorado,2006,759.990804
Fresno,2006,2489.8576
Glenn,2006,91.680584
Humboldt,2006,380.88288
Imperial,2006,527.4427559999999
Inyo,2006,52.922574
Kern,2006,2052.662008
Kings,2006,355.5293
Lake,2006,269.109576
Lassen,2006,106.148183
Los Angeles,2006,20377.012793
Madera,2006,399.809053
Marin,2006,704.836829
Mariposa,2006,69.947705
Mendocino,2006,313.996799
Merced,2006,654.636255
Modoc,2006,59.044041
Mono,2006,83.811524
Monterey,2006,728.542315
Napa,2006,386.60860499999995
Nevada,2006,411.598073
Orange,2006,6851.090583
Placer,2006,1334.4799480000001
Plumas,2006,103.44718
Riverside,2006,6902.348704000001
Sacramento,2006,4761.05977
San Benito,2006,118.452625
San Bernardino,2006,4977.35698
San Diego,2006,6717.916216
San Francisco,2006,1490.8571960000002
San Joaquin,2006,1715.330577
San Luis Obispo,2006,682.25067
San Mateo,2006,1597.440121
Santa Barbara,2006,773.05582
Santa Clara,2006,4091.192453
Santa Cruz,2006,568.045287
Shasta,2006,743.391257
Sierra,2006,14.853666
Siskiyou,2006,236.55510499999997
Solano,2006,1052.939744
Sonoma,2006,1299.774533
Stanislaus,2006,1731.773691
Sutter,2006,275.70165299999996
Tehama,2006,227.490277
Trinity,2006,8.547757
Tulare,2006,1191.6251710000001
Tuolumne,2006,219.30760299999997
Ventura,2006,1764.983602
Yolo,2006,511.73541500000005
Yuba,2006,193.655722
Alameda,2005,3025.149538
Alpine,2005,8.090874000000001
Amador,2005,134.397976
Butte,2005,685.81529
Calaveras,2005,187.91394
Colusa,2005,63.463196999999994
Contra Costa,2005,2661.732269
Del Norte,2005,122.831577
El Dorado,2005,731.837794
Fresno,2005,2376.999918
Glenn,2005,89.31636999999999
Humboldt,2005,359.018784
Imperial,2005,486.203616
Inyo,2005,56.394791000000005
Kern,2005,1972.968734
Kings,2005,330.179973
Lake,2005,259.112988
Lassen,2005,105.25788700000001
Los Angeles,2005,19711.007692
Madera,2005,381.247881
Marin,2005,689.467421
Mariposa,2005,67.383179
Mendocino,2005,295.320442
Merced,2005,620.906954
Modoc,2005,57.577305
Mono,2005,94.847546
Monterey,2005,715.487081
Napa,2005,370.24176600000004
Nevada,2005,397.557325
Orange,2005,6717.053806
Placer,2005,1262.665823
Plumas,2005,102.50363399999999
Riverside,2005,5391.986644
Sacramento,2005,4575.460578
San Benito,2005,115.98647199999999
San Bernardino,2005,5241.942803
San Diego,2005,6327.821377
San Francisco,2005,1444.288311
San Joaquin,2005,1651.909646
San Luis Obispo,2005,651.061226
San Mateo,2005,1568.290704
Santa Barbara,2005,807.125288
Santa Clara,2005,3884.9012780000003
Santa Cruz,2005,563.9562440000001
Shasta,2005,710.0807900000001
Sierra,2005,15.222732
Siskiyou,2005,235.506312
Solano,2005,999.9571779999999
Sonoma,2005,1230.139195
Stanislaus,2005,1651.93615
Sutter,2005,258.934494
Tehama,2005,214.09485899999999
Trinity,2005,8.257783
Tulare,2005,1085.292205
Tuolumne,2005,213.70439199999998
Ventura,2005,1785.589
Yolo,2005,492.44352599999996
Yuba,2005,183.273705
Alameda,2004,2897.764371
Alpine,2004,8.996372000000001
Amador,2004,135.64274
Butte,2004,689.675374
Calaveras,2004,189.230418
Colusa,2004,59.63039499999999
Contra Costa,2004,2649.689498
Del Norte,2004,121.90901000000001
El Dorado,2004,723.204229
Fresno,2004,2351.231518
Glenn,2004,87.45743399999999
Humboldt,2004,337.92236
Imperial,2004,478.09830199999993
Inyo,2004,57.01464
Kern,2004,1865.524074
Kings,2004,326.264427
Lake,2004,256.933198
Lassen,2004,102.440584
Los Angeles,2004,19507.01413
Madera,2004,373.159609
Marin,2004,687.5191
Mariposa,2004,67.74039599999999
Mendocino,2004,284.810627
Merced,2004,612.583276
Modoc,2004,56.45333299999999
Mono,2004,92.486007
Monterey,2004,724.955009
Napa,2004,363.241524
Nevada,2004,398.248625
Orange,2004,6611.743915
Placer,2004,1215.313735
Plumas,2004,101.277846
Riverside,2004,5018.687606
Sacramento,2004,4422.286081
San Benito,2004,117.398444
San Bernardino,2004,5044.577708
San Diego,2004,6330.979359
San Francisco,2004,1381.124787
San Joaquin,2004,1631.6698800000001
San Luis Obispo,2004,636.73805
San Mateo,2004,1545.6445449999999
Santa Barbara,2004,789.708713
Santa Clara,2004,3777.311967
Santa Cruz,2004,570.8417519999999
Shasta,2004,712.93153
Sierra,2004,15.111007
Siskiyou,2004,229.83193500000002
Solano,2004,989.4588650000001
Sonoma,2004,1225.967605
Stanislaus,2004,1618.95042
Sutter,2004,253.883482
Tehama,2004,216.05947999999998
Trinity,2004,8.393308
Tulare,2004,1046.677667
Tuolumne,2004,217.98705499999997
Ventura,2004,1743.5965410000001
Yolo,2004,473.86805300000003
Yuba,2004,171.569618
Alameda,2003,2937.070283
Alpine,2003,6.352394
Amador,2003,129.15965500000001
Butte,2003,658.65355
Calaveras,2003,177.23824299999998
Colusa,2003,58.221056000000004
Contra Costa,2003,2539.933261
Del Norte,2003,121.60870200000001
El Dorado,2003,689.442079
Fresno,2003,2299.2095670000003
Glenn,2003,85.005914
Humboldt,2003,315.452239
Imperial,2003,476.965254
Inyo,2003,49.434791
Kern,2003,1831.9696399999998
Kings,2003,313.893397
Lake,2003,243.76601499999998
Lassen,2003,99.290481
Los Angeles,2003,19056.036722999997
Madera,2003,361.647828
Marin,2003,660.459622
Mariposa,2003,64.97561400000001
Mendocino,2003,265.286837
Merced,2003,593.007145
Modoc,2003,56.767658999999995
Mono,2003,88.21765400000001
Monterey,2003,707.438704
